Artist,Artist_id,ArtistColab,ArtistColab_id,Song,Song_id
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,10AM/Save The World (feat. Gucci Mane),00KjOnN3U40e3lXFUOue7h
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,10AM/Save The World (feat. Gucci Mane),00KjOnN3U40e3lXFUOue7h
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Overdue (with Travis Scott),6LyAwkJsHlW7RQ8S1cYAtM
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,21 Savage,1URnnhqYAYcrqrcwql10ft,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Dreamcatcher (feat. Swae Lee & Travis Scott),22ykS8KWpd2r4zcRZ0XMK5
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,21 Savage,1URnnhqYAYcrqrcwql10ft,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Up To Something (feat. Travis Scott & Young Thug),4RGacGFT2ztXhGgzeaYzIR
