Genre,Artist,Artist ID,Collaborator,Collaborator ID,Album,Album Type,Album ID
jazz,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,Joann Falletta,4XNYbiwP1fToWVyvNPTMMK,"Ellington: Black, Brown and Beige",album,1wyOOxWCVOhXb1tbTdwfHy
jazz,Chet Baker,3rxeQlsv0Sc2nyYaZ5W71T,Jan Erik Vold,6OucQvpvhq1quBilQ7u7fw,Telemark Blue,album,6WuOOGZRS1jkUQ2numKBEb
jazz,Tony Bennett,2lolQgalUvZDfp5vvVtTYV,Bill Charlap,2QX8yUROOnWTSLFg4sZ9Gg,The Silver Lining - The Songs of Jerome Kern,album,6HT89sSe135gyyxJhaLs2m
jazz,Tony Bennett,2lolQgalUvZDfp5vvVtTYV,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Cheek To Cheek (Deluxe),album,1nCIPxGvDnphvLE1dYm5zU
jazz,Tony Bennett,2lolQgalUvZDfp5vvVtTYV,Dave Brubeck,3kUKwTJdH8FuWzF8p6Dg9E,"Bennett & Brubeck: The White House Sessions, Live 1962",album,0ZQq2wnV9SjwuidOttp0YR
jazz,Tony Bennett,2lolQgalUvZDfp5vvVtTYV,k.d. lang,6W1BHDF0T4a4KYcSwzD586,A Wonderful World,album,626Y44MkmT99wZsqs5R8vY
jazz,Roberta Flack,0W498bDDNlJIrYMKXdpLHA,Peabo Bryson,49iKbKGqgn8OESkW5WduX0,Born To Love,album,2tM4mgvIwXse9Ty1i59yVE
jazz,Melody Gardot,2P1puQXmG48EVLBrHbum1J,Ibrahim Maalouf,0NSO0g40h9CTj13hKPskeb,J'attendrai,single,6qex7aA4k91e2VY4V3nGO8
jazz,Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Michael Brecker,5IkynsVZoak9UR2Xt8qsMj,Directions in Music: Live At Massey Hall,album,5ZAgaqdu1Gh7GR23qZSIWU
jazz,Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Wayne Shorter,0ZqhrTXYPA9DZR527ZnFdO,1+1,album,4oCHxwthSDxbGvdUOZilPR
jazz,Thelonious Monk,4PDpGtF16XpqvXxsrFwQnN,Wynton Marsalis,375zxMmh2cSgUzFFnva0O7,Marsalis Plays Monk - Standard Time Vol. 4,album,67PRWG0x7YkdzLg6AWZc4W
jazz,Thelonious Monk,4PDpGtF16XpqvXxsrFwQnN,Fred Hersch,7w7DFqQNjVMW5NRvjM8JPx,Thelonious: Fred Hersch Plays Monk,album,4HfwuyA7NipP3aRWuWLycd
jazz,Gregory Porter,06nevPmNVfWUXyZkccahL8,David Murray Infinity Quartet,7xhQePYEvFBXepY5lM2jA4,Be My Monster Love,album,4IVPa59zRJV2QuX5gTkoLL
jazz,Bill Evans,4jXfFzeP66Zy67HM2mvIIF,Cannonball Adderley,5v74mT11KGJqadf9sLw4dA,Know What I Mean? [Original Jazz Classics Remasters],album,5bUK7ex1LvavpBORAMouWe
jazz,Bill Evans,4jXfFzeP66Zy67HM2mvIIF,Marian McPartland,7Ga404k4zEweLxPtX0Ghma,Marian McPartland's Piano Jazz Radio Broadcast,album,097Po5WkCYjZ4v3fP4KUi9
jazz,Bill Evans,4jXfFzeP66Zy67HM2mvIIF,Don Elliott,3GR38LTiPd7t2yXyRrQvAP,Tenderly (An Informal Session),album,6Qk25ZoSscNMtsoWH24KOC
jazz,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,The Andrews Sisters,2NCGI6dLTxLdI9XHdv7QfM,Glenn Miller And The Andrews Sisters: The Chesterfield Broadcasts,album,2iRDIathSoiD8qwPChhNnS
jazz,Sammy Davis Jr.,1NAWG3AngjBXyKbmPaz92D,Count Basie,2jFZlvIea42ZvcCw4OeEdA,Our Shining Hour,album,462a28648maHxBn4vq0qBJ
jazz,Pink Martini,6KyUat70qaniuiZq63HzFZ,The Von Trapps,2Mu6EXEvZgJedsm8fCrkiD,Dream a Little Dream,album,45VdrnQMcb43uBQyocSKqo
jazz,Pink Martini,6KyUat70qaniuiZq63HzFZ,The Von Trapps,2Mu6EXEvZgJedsm8fCrkiD,Dream A Little Dream,album,4TJ7ZlcqRcbeaABhWvcGIb
jazz,Count Basie,2jFZlvIea42ZvcCw4OeEdA,Joe Williams,7FMGtucexJvUxVz7scydEL,Count Basie Swings-Joe Williams Sings,album,7AcBlC6EIAgGX2KmkVYI0r
jazz,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Joo Gilberto,77ZUbcdoU5KCPHNUl8bgQy,Getz/Gilberto (Expanded Edition),album,2W6Hvrtg2Zpc9dW4aBDbdP
jazz,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Andrzej Trzaskowski Trio,7C0Pfpv3vQcAmNb8jBSP7y,Polish Radio Jazz Archives 01,album,5UIOdVn8kJyzXnCh9r9GP6
jazz,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Cal Tjader,3XOVABzceOUTbR3iEz0ImO,Stan Getz/Cal Tjader Sextet [Original Jazz Classics Remasters],album,0hwd4vschIBGFg5qaRaufq
jazz,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Kenny Barron,3LvX4UVIfEjsQVqrbBToQ3,People Time,album,1vqH1VYF6ROv3CPot8HLTM
jazz,Benny Goodman,1pBuKaLHJlIlqYxQQaflve,Sir John Barbirolli,5X3hmAle6klG0VvstAnvyD,Classics for Clarinet (1938-1946),album,6qavS235l9N0K6fNtHNn1Q
jazz,Benny Goodman,1pBuKaLHJlIlqYxQQaflve,The Stuyvesant String Quartet,6Tt5lOt9rCADIb8X6vlzYX,The Stuyvesant String Quartet with Benny Goodman,album,4MQsHayhr7aLiVPQfBpKyk
jazz,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,Val Doonican,4CkylgE063jGrbE07BZ8D4,"Feliz Natal musica, un bonito regalo",album,0fije0i8wvcT69yISWJTnP
jazz,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,Val Doonican,4CkylgE063jGrbE07BZ8D4,"Feliz Navidad Musica, um belo presente",album,3EfYxvf21Nlt4tmHH28Txp
jazz,Al Jarreau,3YR92OLKlvkK5oKNekSqXe,Metropole Orkest,7JYdpWAsiqzrmMB3qxkEbI,"Al Jarreau and the Metropole Orkest - Live (Live From Theater aan de Parade, Den Bosch, Netherlands/2011)",album,37E2u6YSoiFFrSVLF6UkOh
jazz,Al Jarreau,3YR92OLKlvkK5oKNekSqXe,George Benson,4N8BwYTEC6XqykGvXXlmfv,Givin' It Up,album,5T2Nw2EsHUp27w6IOuBt3T
jazz,Sharon Jones & The Dap-Kings,6LufpoVlIYKQCu9Gjpk8B7,Tedeschi Trucks Band,2gFsmDBM0hkoZPmrO5EdyO,Live from Spotify NYC,album,1xQfkhLFq2UGARqyz8Ajbm
jazz,Keith Jarrett,0F3Aew9DSd6fb6192K1K0Y,Gary Peacock,2k1Qcdf3sOJYCNZEPus58Y,After The Fall (Live),album,6KCtVTAKemrqpVZLLdxB2c
jazz,Keith Jarrett,0F3Aew9DSd6fb6192K1K0Y,Rundfunk-Sinfonieorchester Saarbrcken,5rS7KZ3kWgJENsXr19lAVz,"Samuel Barber: Piano Concerto, Op.38 / Bla Bartk: Piano Concerto No.3 / Keith Jarrett: Tokyo Encore (Live)",album,27mMT3sjlSyHAigW7Bqvty
jazz,Keith Jarrett,0F3Aew9DSd6fb6192K1K0Y,Charlie Haden,5Pqc0ZFA20Y9zGJZ3ojUin,Hamburg '72 (Live),album,358vmFbz8u2bqlOhLpePD9
jazz,Keith Jarrett,0F3Aew9DSd6fb6192K1K0Y,Charlie Haden,5Pqc0ZFA20Y9zGJZ3ojUin,Last Dance,album,6SeF9urdp6Cw8aL11XwVEa
jazz,Keith Jarrett,0F3Aew9DSd6fb6192K1K0Y,Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach: Six Sonatas For Violin And Piano,album,37lly4fJhWeWFzuMPoNIBO
jazz,Keith Jarrett,0F3Aew9DSd6fb6192K1K0Y,Gary Peacock,2k1Qcdf3sOJYCNZEPus58Y,Somewhere (Live In Lucerne / 2009),album,2RQOMTfkWyoPc4NWhZQEMH
jazz,Keith Jarrett,0F3Aew9DSd6fb6192K1K0Y,Charlie Haden,5Pqc0ZFA20Y9zGJZ3ojUin,Jasmine,album,0dlzYOzj8FqN3OXV3jXZye
jazz,Keith Jarrett,0F3Aew9DSd6fb6192K1K0Y,Gary Peacock,2k1Qcdf3sOJYCNZEPus58Y,Yesterdays,album,4HNQ9h9ghVcRdSmewhQWaX
jazz,Keith Jarrett,0F3Aew9DSd6fb6192K1K0Y,Dennis Russell Davies,6Ap58z5zmafflrr6BRbre8,Lou Harrison: Seven Pastorales,album,6rlCnlrV3rF7QSWTBXszUG
jazz,Keith Jarrett,0F3Aew9DSd6fb6192K1K0Y,Gary Peacock,2k1Qcdf3sOJYCNZEPus58Y,My Foolish Heart,album,2Ewzq4eFx2OHKG69SduRad
jazz,Johnny Mathis,21LGsW7bziR4Ledx7WZ1Wf,Gladys Knight & The Pips,0TF2NxkJZPQoX1H53rEFM1,It's Christmas Time Again,album,3FC6EHTZIi0hFpV1hlUvIf
jazz,Stacey Kent,03EYBMnqSchCMp5D9qmFXi,Marcos Valle,5I0EPnV9gwrZYTbScjnaOk,Marcos Valle & Stacey Kent: Ao Vivo Comemorando os 50 Anos de Marcos Valle,album,4Djdejyk0ucOk1KZILsiRJ
jazz,Stacey Kent,03EYBMnqSchCMp5D9qmFXi,Marcos Valle,5I0EPnV9gwrZYTbScjnaOk,Marcos Valle & Stacey Kent Ao Vivo Comemorando os 50 anos de Marcos Valle,album,17HZBGU6nfncRM7ZLOgawH
jazz,Stacey Kent,03EYBMnqSchCMp5D9qmFXi,Jim Tomlinson,5L3fIRSYQCR3EJwQICfyRq,A Fine Romance,album,2AmIo8RqV1gKouRdfpZNXB
jazz,Wynton Marsalis,375zxMmh2cSgUzFFnva0O7,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubn Blades,album,3iptT1nxZTR7fX4Cf8KHbJ
jazz,Wynton Marsalis,375zxMmh2cSgUzFFnva0O7,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Handful of Keys,album,0NajCJe8wf6QmJx3dWi2Jr
jazz,Wynton Marsalis,375zxMmh2cSgUzFFnva0O7,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,The Abyssinian Mass,album,4dhVRFJciDpzZzl3R4kfhD
jazz,Wynton Marsalis,375zxMmh2cSgUzFFnva0O7,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Big Band Holidays,album,5SoRnEs50Q8YfymUzXCYne
jazz,Wynton Marsalis,375zxMmh2cSgUzFFnva0O7,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Live in Cuba,album,2mLRfQqMxdiZSpUHnd0HKy
jazz,Wynton Marsalis,375zxMmh2cSgUzFFnva0O7,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,Wynton Marsalis And Eric Clapton Play The Blues Live From Jazz At Lincoln Center,album,1jv9cmV4jeSgo6AaFcCl3G
jazz,Wynton Marsalis,375zxMmh2cSgUzFFnva0O7,Willie Nelson,5W5bDNCqJ1jbCgTxDD0Cb3,Two Men With The Blues,album,26fXZ2HiqPZ3yNWFiB36rM
jazz,Solomon Burke,4nts0oxMT67lVUoi5Kjxrb,De Dijk,4jFkB3Lzjku9SFKUTP33WV,Hold On Tight,album,0n8iFehE0AcAlt7LvTlXnu
jazz,Oscar Peterson,6zkX5fhrSD4tdVOmimR9wB,Fred Astaire,4BtDAwCZhR6nPrJtbVgQNX,The Astaire Story,album,42o953dXLM7QVPh5TIbovr
jazz,Oscar Peterson,6zkX5fhrSD4tdVOmimR9wB,Stphane Grappelli,6AfbDYupHV5e6nse9W6tKG,"Skol (Original Jazz Classics Remasters) [Live At The Tivoli Gardens, Copenhagen / 1979]",album,6ZjFtJ0nFIDZ8hkDry8ciU
jazz,Oscar Peterson,6zkX5fhrSD4tdVOmimR9wB,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella and Oscar [Original Jazz Classics Remasters],album,1eki3dNJy9a3g8321ypZTr
jazz,Oscar Peterson,6zkX5fhrSD4tdVOmimR9wB,Nelson Riddle,6PyGlGbMoNqkofF14K4BWb,Oscar Peterson & Nelson Riddle,album,5DxBL1DdvhtGYmZOaF21Ov
jazz,Cannonball Adderley,5v74mT11KGJqadf9sLw4dA,Milt Jackson,23i8EixXKG0EWGRCfHlUGN,Things Are Getting Better [Original Jazz Classics Remasters],album,0ItYeeAtpPN1lSloPD1twh
jazz,Cannonball Adderley,5v74mT11KGJqadf9sLw4dA,Rick Holmes,2iDaG36NhkKh3eVhPz1m2H,Soul Zodiac,album,7boenH0BQrszUdmOIzeinj
jazz,Cannonball Adderley,5v74mT11KGJqadf9sLw4dA,Ernie Andrews,5R3uLWUbgzb8o7TO6l5n3G,Live Session!,album,5mbyMhUmDkARfPWDIHSGeH
jazz,Astrud Gilberto,5rX2c1zow6hCph8PnnU3kF,Walter Wanderley,1FKfMww5N8dkbyo2sp9nBA,"A Certain Smile, A Certain Sadness",album,1vLQYFvmDj7hTYvlvdMSQ4
jazz,Brad Mehldau,2vI9KFm0fwSfPrpEgOeIbq,Chris Thile,1dyGPAYZZHHW6WIqwKN5QF,Chris Thile & Brad Mehldau,album,6ekMTTfkiUESMdQYuEbD4c
jazz,Brad Mehldau,2vI9KFm0fwSfPrpEgOeIbq,Joshua Redman,3uaHfXYx9Fh4HjqMbrWn5S,Nearness,album,5JAcKvUBjbNTJ2SY8u8vYU
jazz,Brad Mehldau,2vI9KFm0fwSfPrpEgOeIbq,Kevin Hays,2uOemiMYq8Lh6yzwELpb3J,Modern Music,album,5v7NC8IVGmbTVFuTZhLvES
jazz,Brad Mehldau,2vI9KFm0fwSfPrpEgOeIbq,Anne Sofie von Otter,4pFlv4QVInj7bAo0MqHpwW,Love Songs,album,48dbDAON63ImRR4tEtHQVb
jazz,Brad Mehldau,2vI9KFm0fwSfPrpEgOeIbq,Pat Metheny,3t58jfUhoMLYVO14XaUFLA,Quartet,album,0lts77z4ZmCEah0YZ01AKp
jazz,Brad Mehldau,2vI9KFm0fwSfPrpEgOeIbq,Pat Metheny,3t58jfUhoMLYVO14XaUFLA,Metheny Mehldau,album,46toyUpsWtgtWQi4ME16nj
jazz,Brad Mehldau,2vI9KFm0fwSfPrpEgOeIbq,Rene Fleming,3SK3gLBgy1jRuA4VnLlcs8,Love Sublime: Songs for Soprano and Piano,album,6kxLGtdf7w0WwaVoJKCJRv
jazz,Judy Garland,0hItVPjwJLVZrFqOyIsxPf,Liza Minnelli,3lQpSzdPxoF1FYk7ilbe37,Live At The London Palladium,album,2NMWk09s1zK3E66qwxkjva
jazz,Leslie Odom Jr.,3cR4rhS2hBWqI7rJEBacvN,Nicolette Robinson,3paKlrfyV5cDbDwDkyjgy1,What Are We Waiting For (feat. Nicolette Robinson),single,2mrVvlPTvDCaxVqsPc1t7i
jazz,Leslie Odom Jr.,3cR4rhS2hBWqI7rJEBacvN,Rene Fleming,3SK3gLBgy1jRuA4VnLlcs8,Broadway,album,1RebXmJHSIT3QPPxgrfuQ7
jazz,Leslie Odom Jr.,3cR4rhS2hBWqI7rJEBacvN,Matt Sax,2s9pl3eXQKB4ve9lIjokwY,Venice (Original Cast Recording),album,4a3cgL2GKZNbzyU4GXUdJl
jazz,Leslie Odom Jr.,3cR4rhS2hBWqI7rJEBacvN,Alan Menken,5sy77gt4bfsLcSQ8GIe4ZZ,Leap Of Faith: The Musical (Original Broadway Cast Recording),album,6c5WjF0OeKO5CoMR9iplOs
jazz,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,Sam Butera & The Witnesses,70njzKgLbLbWkCPhKEu2oV,Lake Tahoe Prima Style,album,3vH5LIQP3k3XJgmjN7o9ih
jazz,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,Keely Smith,0vQqxnQk1G32RtjSAFq3z1,Las Vegas Prima Style,album,3Xfa7m1pJPDbn9jrjS3e9x
jazz,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,Sam Butera & The Witnesses,70njzKgLbLbWkCPhKEu2oV,The Wildest Comes Home,album,5b8qE62iE4akU5fBWsYEKX
jazz,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,Keely Smith,0vQqxnQk1G32RtjSAFq3z1,Hey Boy! Hey Girl!,album,5kmtWIs8Sguqj70mTiHTMt
jazz,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,Sam Butera & The Witnesses,70njzKgLbLbWkCPhKEu2oV,The Wildest Show At Lake Tahoe,album,4yb8RdbHQQpL4gycKLxx4g
jazz,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,Keely Smith,0vQqxnQk1G32RtjSAFq3z1,Live From Las Vegas,album,0m1EFPyCyADCcYG634eAc6
jazz,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,"Joe ""Wingy"" Manone",3HjsgLndcBC0k7onBDpd02,"The Complete Louis Prima And Wingy Manone Brunswick & Vocation Recordings, Vol 1",album,2d2yox6ZfpHyuGUtGMOd1Q
jazz,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,"Joe ""Wingy"" Manone",3HjsgLndcBC0k7onBDpd02,"The Complete Louis Prima And Wingy Manone Brunswick & Vocation Recordings, Vol 2",album,1WQbg5RPBbESiTfeBybIxS
jazz,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,Keely Smith,0vQqxnQk1G32RtjSAFq3z1,Wildest Show At Tahoe,album,7wOSI6DLVUmKnHkFO9zG0g
jazz,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,Sam Butera & The Witnesses,70njzKgLbLbWkCPhKEu2oV,Strictly Prima!,album,6hhhp9geelbmGcmhrJVuaI
jazz,The Andrews Sisters,2NCGI6dLTxLdI9XHdv7QfM,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,A Merry Christmas With Bing Crosby & The Andrews Sisters (Remastered),album,0w8UpAutS4akZSqbvJH4fk
