Artist,Genre,Artist_uri,Artist_id
Shawn Mendes,pop,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,7n2wHs1TKAczGzO7Dd2rGr
Maroon 5,pop,spotify:artist:04gDigrS5kc9YWfZHwBETP,04gDigrS5kc9YWfZHwBETP
Migos,pop,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,6oMuImdp5ZcFhWP0ESe6mG
G-Eazy,pop,spotify:artist:02kJSzxNuaWGqwubyUba0Z,02kJSzxNuaWGqwubyUba0Z
Mac Miller,pop,spotify:artist:4LLpKhyESsyAXpc4laK94U,4LLpKhyESsyAXpc4laK94U
Selena Gomez,pop,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,0C8ZW7ezQVs4URX5aX7Kqx
Camila Cabello,pop,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,4nDoRrQiYLoBzwC5BhVJzF
Sam Smith,pop,spotify:artist:2wY79sveU1sp5g7SokKOiI,2wY79sveU1sp5g7SokKOiI
Panic! At The Disco,pop,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,20JZFwl6HVl6yg8a4H3ZqK
Marshmello,pop,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,64KEffDW9EtZ1y2vBYgq8T
Dua Lipa,pop,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,6M2wZ9GZgrQXHCFfjv46we
Gucci Mane,pop,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,13y7CgLHjMVRMDqxdx0Xdo
Lil Yachty,pop,spotify:artist:6icQOAFXDZKsumw3YXyusw,6icQOAFXDZKsumw3YXyusw
Michael Jackson,pop,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,3fMbdgg4jU18AjLCKBhRSm
Blackbear,pop,spotify:artist:2cFrymmkijnjDg9SS92EPM,2cFrymmkijnjDg9SS92EPM
Russ,pop,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,1z7b1Pr1rSlvWRzsW3HOrS
Sia,pop,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,5WUlDfRSoLAfcVSX1WnrxN
Bebe Rexha,pop,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,64M6ah0SkkRsnPGtGiRAbb
J. Cole,pop,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5
2 Chainz,pop,spotify:artist:17lzZA2AlOHwCwFALHttmp,17lzZA2AlOHwCwFALHttmp
Kendrick Lamar,pop,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg
Bazzi,pop,spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl,4GvEc3ANtPPjt1ZJllr5Zl
A$AP Rocky,pop,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,13ubrt8QOOCPljQ2FL1Kca
Beyonc,pop,spotify:artist:6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m
Demi Lovato,pop,spotify:artist:6S2OmqARrzebs0tKUEyXyp,6S2OmqARrzebs0tKUEyXyp
Big Sean,pop,spotify:artist:0c173mlxpT3dSFRgMO8XPh,0c173mlxpT3dSFRgMO8XPh
David Guetta,pop,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,1Cs0zKBU1kc0i8ypK3B9ai
Jon Bellion,pop,spotify:artist:50JJSqHUf2RQ9xsHs0KMHg,50JJSqHUf2RQ9xsHs0KMHg
Lauv,pop,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,5JZ7CnR6gTvEMKX4g70Amv
Logic,pop,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,4xRYI6VqpkE3UwrDrAZL8L
Chance the Rapper,pop,spotify:artist:1anyVhU62p31KFi8MEzkbf,1anyVhU62p31KFi8MEzkbf
The Chainsmokers,pop,spotify:artist:69GGBxA162lTqCwzJG5jLp,69GGBxA162lTqCwzJG5jLp
Wiz Khalifa,pop,spotify:artist:137W8MRPWKqSmrBGDBFSop,137W8MRPWKqSmrBGDBFSop
Lana Del Rey,pop,spotify:artist:00FQb4jTyendYWaN8pK0wa,00FQb4jTyendYWaN8pK0wa
5 Seconds of Summer,pop,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,5Rl15oVamLq7FbSb0NNBNy
6LACK,pop,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,4IVAbR2w4JJNJDDRFP3E83
Adele,pop,spotify:artist:4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY
John Mayer,pop,spotify:artist:0hEurMDQu99nJRq8pTxO14,0hEurMDQu99nJRq8pTxO14
YG,pop,spotify:artist:0A0FS04o6zMoto8OKPsDwY,0A0FS04o6zMoto8OKPsDwY
Bastille,pop,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,7EQ0qTo7fWT7DPxmxtSYEc
Rich The Kid,pop,spotify:artist:1pPmIToKXyGdsCF6LmqLmI,1pPmIToKXyGdsCF6LmqLmI
Tyga,pop,spotify:artist:5LHRHt1k9lMyONurDHEdrp,5LHRHt1k9lMyONurDHEdrp
Tory Lanez,pop,spotify:artist:2jku7tDXc6XoB6MO2hFuqg,2jku7tDXc6XoB6MO2hFuqg
Calvin Harris,pop,spotify:artist:7CajNmpbOovFoOoasH2HaY,7CajNmpbOovFoOoasH2HaY
Miguel,pop,spotify:artist:360IAlyVv4PCEVjgyMZrxK,360IAlyVv4PCEVjgyMZrxK
Justin Timberlake,pop,spotify:artist:31TPClRtHm23RisEBtV3X7,31TPClRtHm23RisEBtV3X7
Troye Sivan,pop,spotify:artist:3WGpXCj9YhhfX11TToZcXP,3WGpXCj9YhhfX11TToZcXP
Usher,pop,spotify:artist:23zg3TcAtWQy7J6upgbUnj,23zg3TcAtWQy7J6upgbUnj
Julia Michaels,pop,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m,0ZED1XzwlLHW4ZaG4lOT6m
PnB Rock,pop,spotify:artist:21WS9wngs9AqFckK7yYJPM,21WS9wngs9AqFckK7yYJPM
French Montana,pop,spotify:artist:6vXTefBL93Dj5IqAWq6OTv,6vXTefBL93Dj5IqAWq6OTv
Kevin Gates,pop,spotify:artist:1gPhS1zisyXr5dHTYZyiMe,1gPhS1zisyXr5dHTYZyiMe
Zedd,pop,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,2qxJFvFYMEDqd7ui6kSAcq
Pharrell Williams,pop,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,2RdwBSPQiwcmiDo9kixcl8
DJ Snake,pop,spotify:artist:540vIaP2JwjQb9dm3aArA4,540vIaP2JwjQb9dm3aArA4
Coldplay,pop,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,4gzpq5DPGxSnKTe4SA8HAU
NAV,pop,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,7rkW85dBwwrJtlHRDkJDAC
Childish Gambino,pop,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,73sIBHcqh3Z3NyqHKZ7FOL
benny blanco,pop,spotify:artist:5CiGnKThu5ctn9pBxv7DGa,5CiGnKThu5ctn9pBxv7DGa
Charlie Puth,pop,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,6VuMaDnrHyPL1p4EHjYLi7
Jeremih,pop,spotify:artist:3KV3p5EY4AvKxOlhGHORLg,3KV3p5EY4AvKxOlhGHORLg
Kehlani,pop,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX,0cGUm45nv7Z6M6qdXYQGTX
Mariah Carey,pop,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,4iHNK0tOyZPYnBU7nGAgpQ
Diplo,pop,spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,5fMUXHkw8R8eOP2RNVYEZX
