Artist,Genre,Artist_uri,Artist_id,Followers
John Legend,soul,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,5y2Xq6xcjJb2jVM54GHK3t,4356036
Frank Ocean,soul,spotify:artist:2h93pZq0e7k5yf4dywlkpM,2h93pZq0e7k5yf4dywlkpM,3858918
Stevie Wonder,soul,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,7guDJrEfX3qb6FEbdPA5qi,3124635
Marvin Gaye,soul,spotify:artist:3koiLjNrgRTNbOwViDipeA,3koiLjNrgRTNbOwViDipeA,2537816
Mary J. Blige,soul,spotify:artist:1XkoF8ryArs86LZvFOkbyr,1XkoF8ryArs86LZvFOkbyr,1641670
Aretha Franklin,soul,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,7nwUJBm0HE4ZxD3f5cy5ok,1610336
Kelly Rowland,soul,spotify:artist:3AuMNF8rQAKOzjYppFNAoB,3AuMNF8rQAKOzjYppFNAoB,1608485
Emeli Sand,soul,spotify:artist:7sfgqEdoeBTjd8lQsPT3Cy,7sfgqEdoeBTjd8lQsPT3Cy,1502758
"Earth, Wind & Fire",soul,spotify:artist:4QQgXkCYTt3BlENzhyNETg,4QQgXkCYTt3BlENzhyNETg,1448467
Sade,soul,spotify:artist:47zz7sob9NUcODy0BTDvKx,47zz7sob9NUcODy0BTDvKx,1332980
Ray Charles,soul,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,1eYhYunlNJlDoQhtYBvPsi,1275839
Erykah Badu,soul,spotify:artist:7IfculRW2WXyzNQ8djX8WX,7IfculRW2WXyzNQ8djX8WX,1270154
Janet Jackson,soul,spotify:artist:4qwGe91Bz9K2T8jXTZ815W,4qwGe91Bz9K2T8jXTZ815W,1256496
Nina Simone,soul,spotify:artist:7G1GBhoKtEPnP86X2PvEYO,7G1GBhoKtEPnP86X2PvEYO,1209102
Otis Redding,soul,spotify:artist:60df5JBRRPcnSpsIMxxwQm,60df5JBRRPcnSpsIMxxwQm,1190214
James Brown,soul,spotify:artist:7GaxyUddsPok8BuhxN6OUW,7GaxyUddsPok8BuhxN6OUW,1190142
