Genre,Artist,Artist_id,Song,Song_id,Audio_Metric
"['pop', 'hip-hop']",Drake,3TVXtAsR1Inumwj472S9r4,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,"[0.56, 0.35, 0.96]"
"['pop', 'hip-hop']",Drake,3TVXtAsR1Inumwj472S9r4,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,"[0.76, 0.91, 0.59]"
"['pop', 'hip-hop']",Drake,3TVXtAsR1Inumwj472S9r4,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,"[0.59, 0.58, 0.92]"
"['pop', 'hip-hop']",Drake,3TVXtAsR1Inumwj472S9r4,Dont Matter To Me (with Michael Jackson),6G8kHiVZ1jW7vHMPVRNZU0,"[0.14, 0.32, 0.83]"
"['pop', 'hip-hop']",Drake,3TVXtAsR1Inumwj472S9r4,One Dance,1zi7xx7UVEFkmKfv06H8x0,"[0.39, 0.61, 0.8]"
"['pop', 'hip-hop']",Drake,3TVXtAsR1Inumwj472S9r4,Mob Ties,7rC5Pl8rQSX4myONQHYPBK,"[0.49, 0.57, 0.76]"
['pop'],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,"[0.43, 0.65, 0.72]"
['pop'],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,breathin,4OafepJy2teCjYJbvFE60J,"[0.36, 0.66, 0.57]"
['pop'],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,"[0.56, 0.63, 0.51]"
['pop'],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,"[0.35, 0.71, 0.7]"
['pop'],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,God is a woman,5OCJzvD7sykQEKHH7qAC3C,"[0.27, 0.66, 0.6]"
['pop'],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Side To Side,1pKeFVVUOPjFsOABub0OaV,"[0.61, 0.74, 0.65]"
['pop'],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Into You,2meEiZKWkiN28gITzFwQo5,"[0.37, 0.73, 0.62]"
['pop'],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,One Last Time,7xoUc6faLbCqZO6fQEYprd,"[0.1, 0.59, 0.63]"
['pop'],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,sweetener,70khXICDeTTxgYtw3EysKH,"[0.46, 0.46, 0.72]"
['pop'],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Santa Baby,6YJdPrH3i2POzu7hdHIRrb,"[0.81, 0.78, 0.75]"
['pop'],Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Woman Like Me (feat. Nicki Minaj),222B3aljXx6fFwKmFjuBED,"[0.8, 0.85, 0.75]"
['pop'],Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Dip (feat. Nicki Minaj),4hXDobvUaXyDFLnmecoY0z,"[0.43, 0.54, 0.89]"
['pop'],Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,MotorSport,4wFjTWCunQFKtukqrNijEt,"[0.17, 0.52, 0.9]"
['pop'],Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,"[0.78, 0.82, 0.7]"
['pop'],Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Bang Bang,0puf9yIluy9W0vpMEUoAnN,"[0.75, 0.79, 0.71]"
['pop'],Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Bed (feat. Ariana Grande),3L4GsGLgxpHieVQH86H8bv,"[0.45, 0.73, 0.76]"
['pop'],Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Barbie Dreams,6Poyf51k7W3NKnsGwAI90B,"[0.7, 0.79, 0.85]"
['pop'],Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Chun-Li,1e4rwBPVI32vZtTJu7mJ4J,"[0.48, 0.73, 0.69]"
['pop'],Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"Runnin (with A$AP Rocky, A$AP Ferg & Nicki Minaj)",23dwrzeJtEEGl2U4CPWSor,"[0.61, 0.97, 0.55]"
['pop'],Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Majesty (with Labrinth & feat. Eminem),38TgLPNHsPzgqri5G4SPun,"[0.57, 0.73, 0.81]"
['pop'],Post Malone,246dkjvS1zLTtiykXe5h60,Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,"[0.93, 0.5, 0.75]"
['pop'],Post Malone,246dkjvS1zLTtiykXe5h60,Better Now,7dt6x5M1jzdTEt8oCbisTK,"[0.37, 0.56, 0.68]"
