Artist,Artist_id,ArtistColab,ArtistColab_id,Song,Song_id
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Know No Better - BROHUG Remix,0lYHICmp845LFlxtdvgoLT
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Know No Better - BROHUG Remix,0lYHICmp845LFlxtdvgoLT
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,Know No Better - BROHUG Remix,0lYHICmp845LFlxtdvgoLT
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,BROHUG,3IHsD0sttucHrX8b32Vcab,Know No Better - BROHUG Remix,0lYHICmp845LFlxtdvgoLT
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Know No Better - SLANDER Remix,0bxAg6Fy6hLQzjRBdkKUYa
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Know No Better - SLANDER Remix,0bxAg6Fy6hLQzjRBdkKUYa
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,Know No Better - SLANDER Remix,0bxAg6Fy6hLQzjRBdkKUYa
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,SLANDER,20DZAfCuP1TKZl5KcY7z3Q,Know No Better - SLANDER Remix,0bxAg6Fy6hLQzjRBdkKUYa
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Know No Better - Laibert Remix,2tgLS4WG6YgJRLsBwXpUot
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Know No Better - Laibert Remix,2tgLS4WG6YgJRLsBwXpUot
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,Know No Better - Laibert Remix,2tgLS4WG6YgJRLsBwXpUot
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Laibert,1oH366tKCWDnpu9L0RwAzn,Know No Better - Laibert Remix,2tgLS4WG6YgJRLsBwXpUot
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Know No Better - DJ Zinc Remix,1FNxl8pQVvhAONtScDTb0G
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Know No Better - DJ Zinc Remix,1FNxl8pQVvhAONtScDTb0G
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,Know No Better - DJ Zinc Remix,1FNxl8pQVvhAONtScDTb0G
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,DJ Zinc,1cwlYsgHBYvLzT4C24AliQ,Know No Better - DJ Zinc Remix,1FNxl8pQVvhAONtScDTb0G
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Know No Better - La Fuente Remix,1DmXJ3SQe88Lqi0REP4x6T
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Know No Better - La Fuente Remix,1DmXJ3SQe88Lqi0REP4x6T
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,Know No Better - La Fuente Remix,1DmXJ3SQe88Lqi0REP4x6T
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,La Fuente,0vhJymgsCubfAfFjEGVsoD,Know No Better - La Fuente Remix,1DmXJ3SQe88Lqi0REP4x6T
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Know No Better - SUPER CRUEL Remix,2SiJwZ9skY5D6hpz2KCMm7
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Know No Better - SUPER CRUEL Remix,2SiJwZ9skY5D6hpz2KCMm7
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,Know No Better - SUPER CRUEL Remix,2SiJwZ9skY5D6hpz2KCMm7
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,SUPER CRUEL,3WT4nncSPNyszovdgHl5P6,Know No Better - SUPER CRUEL Remix,2SiJwZ9skY5D6hpz2KCMm7
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Major Lazer,738wLrAtLtCtFOLvQBXOXp,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",5cxf8YcDttPsgZb8zt120n
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",5cxf8YcDttPsgZb8zt120n
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",5cxf8YcDttPsgZb8zt120n
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Major Lazer,738wLrAtLtCtFOLvQBXOXp,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",5b719srfWk2MiDa86ZpJ8u
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",5b719srfWk2MiDa86ZpJ8u
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",5b719srfWk2MiDa86ZpJ8u
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Know No Better,6BKeNWeUqxmvQ09Gxd3ZGX
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Know No Better,6BKeNWeUqxmvQ09Gxd3ZGX
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,Know No Better,6BKeNWeUqxmvQ09Gxd3ZGX
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Major Lazer,738wLrAtLtCtFOLvQBXOXp,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",3Ytr1SUCUi6J3L9dRFx5iH
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",3Ytr1SUCUi6J3L9dRFx5iH
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",3Ytr1SUCUi6J3L9dRFx5iH
